Date,attendance,visitorCards,homeSeekers,specialOccasion
6/29/2014,55,,,
7/6/2014,45,1,,
7/13/2014,45,3,,
7/20/2014,32,,,
7/27/2014,37,,,
8/3/2014,47,1,1,
8/10/2014,38,1,,
8/17/2014,38,3,1,
8/24/2014,50,4,2,
8/31/2014,40,2,,
9/7/2014,48,1,,
9/14/2014,54,4,1,
9/21/2014,60,,,
9/28/2014,40,1,,
10/5/2014,46,2,2,
10/12/2014,45,3,2,
10/19/2014,51,,,
10/26/2014,48,3,1,
11/2/2014,51,2,2,
11/9/2014,46,2,1,
11/16/2014,45,,,
11/23/2014,55,1,,
11/30/2014,30,,,
12/7/2014,53,,,
12/14/2014,42,,,
12/21/2014,44,,,
12/28/2014,47,,,
1/4/2015,30,,,
1/11/2015,37,,,
1/18/2015,38,,,
1/25/2015,46,,,
2/1/2015,37,,,
2/8/2015,62,,,
2/15/2015,39,1,,
2/22/2015,38,,,
3/1/2015,37,,,
3/8/2015,20,1,,
3/15/2015,30,1,,
3/22/2015,38,,,
3/29/2015,41,,,
4/5/2015,51,1,1,
4/12/2015,40,1,,
4/19/2015,45,,,
4/26/2015,37,1,,
5/3/2015,21,,,
5/10/2015,29,,,
5/17/2015,30,,,
5/24/2015,21,,,
5/31/2015,33,,,
6/7/2015,26,,,
6/14/2015,23,,,
6/21/2015,35,1,,
6/28/2015,29,,,
7/5/2015,35,1,1,
7/12/2015,30,,,
7/19/2015,28,3,1,
7/26/2015,25,,,
8/2/2015,25,,,
8/9/2015,24,,,
8/16/2015,26,,,
8/23/2015,34,,,
8/30/2015,30,2,2,
9/6/2015,41,1,1,
9/13/2015,37,,,
9/20/2015,35,,,
9/27/2015,28,,,
10/4/2015,36,,,
10/11/2015,35,,,
10/18/2015,36,,,
10/25/2015,35,1,1,
11/1/2015,31,,,
11/8/2015,33,2,,
11/15/2015,39,,,
11/22/2015,38,,,
11/29/2015,19,,,
12/6/2015,55,,,
12/13/2015,34,,,
12/20/2015,40,1,,
12/27/2015,20,,,
1/3/2016,34,1,1,
1/10/2016,30,,,
1/17/2016,44,,,
1/24/2016,40,5,,
1/31/2016,52,1,1,
2/7/2016,40,,,
2/14/2016,48,,,
2/21/2016,40,,,
2/28/2016,42,2,,
3/6/2016,39,,,
3/13/2016,26,,,
3/20/2016,49,3,,
3/27/2016,64,2,,
4/3/2016,50,1,,
4/10/2016,49,2,,
4/17/2016,40,,,
4/24/2016,54,5,2,
5/1/2016,37,2,2,
5/8/2016,41,1,1,
5/15/2016,40,2,2,
5/22/2016,38,3,,
5/29/2016,44,,,
6/5/2016,34,1,,
6/12/2016,30,2,,
6/19/2016,41,3,1,
6/26/2016,48,1,,
7/3/2016,23,2,,
7/10/2016,44,1,,
7/17/2016,42,,,
7/24/2016,41,,,
7/31/2016,37,,,
8/7/2016,54,1,,
8/14/2016,42,1,,
8/21/2016,42,1,,
8/28/2016,52,6,3,
9/4/2016,53,4,,
9/11/2016,60,,,
9/18/2016,56,2,,
9/25/2016,58,,,
10/2/2016,56,,,
10/9/2016,44,,,
10/16/2016,65,,,
10/23/2016,53,2,,
10/30/2016,57,1,,
11/6/2016,53,1,,
11/13/2016,64,3,1,
11/20/2016,50,,,
11/27/2016,37,1,,
12/4/2016,41,1,,
12/11/2016,45,,,
12/18/2016,37,,,
12/25/2016,35,,,
1/1/2017,45,1,0,
1/8/2017,39,1,0,
1/15/2017,44,1,0,
1/22/2017,49,0,0,
1/29/2017,52,4,0,
2/5/2017,43,0,0,
2/12/2017,55,0,1,
2/19/2017,55,2,1,
2/26/2017,52,0,0,
3/5/2017,38,0,0,
3/12/2017,34,0,0,
3/19/2017,42,1,0,
3/26/2017,51,1,0,
4/2/2017,45,0,0,
4/9/2017,58,2,0,
4/16/2017,53,2,1,
4/23/2017,55,3,,
4/30/2017,35,,,
5/7/2017,33,1,1,
5/14/2017,40,1,1,
5/21/2017,36,0,0,
5/28/2017,34,0,0,
6/4/2017,30,0,0,
6/11/2017,40,0,0,
6/18/2017,43,0,0,
6/25/2017,48,2,1,
7/2/2017,45,2,,
7/9/2017,33,1,,
7/16/2017,37,,,
7/23/2017,40,,,
7/30/2017,45,1,,
8/6/2017,64,,,
8/13/2017,37,1,,
8/20/2017,42,1,1,
8/27/2017,44,,,
9/3/2017,38,1,,
